sample_id,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,lineage,taxid_lineage
S_positive_11,Ruminococcus bicirculans (ex Wegman et al. 2014),1160721,S,27762,1568,29330,0.00338,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus bicirculans (ex Wegman et al. 2014),2;1239;186801;186802;216572;1263;1160721
S_positive_11,Ruminococcus bovis,2564099,S,135,1,136,0.00002,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus bovis,2;1239;186801;186802;216572;1263;2564099
S_positive_11,Flavonifractor plautii,292800,S,28817,1553,30370,0.00350,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii,2;1239;186801;186802;216572;946234;292800
S_positive_11,Vescimonas coprocola,2714355,S,7549,1888,9437,0.00109,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas coprocola,2;1239;186801;186802;216572;2892396;2714355
S_positive_11,Vescimonas fastidiosa,2714353,S,1775,420,2195,0.00025,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas fastidiosa,2;1239;186801;186802;216572;2892396;2714353
S_positive_11,Ruthenibacterium lactatiformans,1550024,S,8961,443,9404,0.00108,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans,2;1239;186801;186802;216572;1905344;1550024
S_positive_11,Lawsonibacter asaccharolyticus,2108523,S,5384,300,5684,0.00066,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus,2;1239;186801;186802;216572;2172004;2108523
S_positive_11,Anaerotruncus colihominis,169435,S,4077,635,4712,0.00054,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__Anaerotruncus colihominis,2;1239;186801;186802;216572;244127;169435
S_positive_11,Pusillibacter faecalis,2714358,S,3147,381,3528,0.00041,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Pusillibacter;s__Pusillibacter faecalis,2;1239;186801;186802;216572;2892397;2714358
S_positive_11,Dysosmobacter welbionis,2093857,S,2543,12578,15121,0.00174,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter welbionis,2;1239;186801;186802;216572;2591381;2093857
S_positive_11,Oscillibacter sp. PEA192,2109687,S,2355,12318,14673,0.00169,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp. PEA192,2;1239;186801;186802;216572;459786;2109687
