sample_id,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,lineage,taxid_lineage
G_positive_15,Monoglobus,2039302,G,2114,122,2236,0.00024,k__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__,2;1239;186801;3085656;3085657;2039302;
G_positive_15,Christensenella,990721,G,309,21,330,0.00004,k__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella;s__,2;1239;186801;3082768;990719;990721;
G_positive_15,Veillonella,29465,G,22000,174,22174,0.00240,k__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__,2;1239;909932;1843489;31977;29465;
G_positive_15,Dialister,39948,G,21996,10,22006,0.00238,k__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__,2;1239;909932;1843489;31977;39948;
G_positive_15,Megasphaera,906,G,14547,212,14759,0.00159,k__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__,2;1239;909932;1843489;31977;906;
G_positive_15,Phascolarctobacterium,33024,G,45840,91,45931,0.00496,k__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__,2;1239;909932;1843488;909930;33024;
G_positive_15,Acidaminococcus,904,G,11413,370,11783,0.00127,k__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__,2;1239;909932;1843488;909930;904;
G_positive_15,Megamonas,158846,G,17726,47,17773,0.00192,k__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__,2;1239;909932;909929;1843491;158846;
G_positive_15,Selenobaculum,3074372,G,598,1,599,0.00006,k__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenobaculum;s__,2;1239;909932;909929;1843491;3074372;
G_positive_15,Selenomonas,970,G,303,0,303,0.00003,k__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__,2;1239;909932;909929;1843491;970;
G_positive_15,Lactobacillus,1578,G,13129,283,13412,0.00145,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__,2;1239;91061;186826;33958;1578;
G_positive_15,Weissella,46255,G,902,22,924,0.00010,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__,2;1239;91061;186826;33958;46255;
G_positive_15,Limosilactobacillus,2742598,G,662,40,702,0.00008,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__,2;1239;91061;186826;33958;2742598;
G_positive_15,Lacticaseibacillus,2759736,G,409,26,435,0.00005,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__,2;1239;91061;186826;33958;2759736;
G_positive_15,Pediococcus,1253,G,293,11,304,0.00003,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__,2;1239;91061;186826;33958;1253;
G_positive_15,Leuconostoc,1243,G,101,0,101,0.00001,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__,2;1239;91061;186826;33958;1243;
G_positive_15,Streptococcus,1301,G,8108,111,8219,0.00089,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,2;1239;91061;186826;1300;1301;
G_positive_15,Lactococcus,1357,G,241,19,260,0.00003,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__,2;1239;91061;186826;1300;1357;
G_positive_15,Enterococcus,1350,G,4183,213,4396,0.00048,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__,2;1239;91061;186826;81852;1350;
G_positive_15,Carnobacterium,2747,G,139,3,142,0.00002,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__,2;1239;91061;186826;186828;2747;
G_positive_15,Bacillus,1386,G,649,1,650,0.00007,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__,2;1239;91061;1385;186817;1386;
G_positive_15,Staphylococcus,1279,G,216,5,221,0.00002,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__,2;1239;91061;1385;90964;1279;
G_positive_15,Thomasclavelia,3025755,G,4613,247,4860,0.00053,k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__,2;1239;526524;526525;2810280;3025755;
G_positive_15,Catenibacterium,135858,G,2448,95,2543,0.00027,k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__,2;1239;526524;526525;2810280;135858;
G_positive_15,Faecalibacillus,2678885,G,1306,74,1380,0.00015,k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__,2;1239;526524;526525;2810280;2678885;
G_positive_15,Longicatena,1918536,G,4815,821,5636,0.00061,k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Longicatena;s__,2;1239;526524;526525;128827;1918536;
G_positive_15,Intestinibaculum,2679910,G,272,2,274,0.00003,k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Intestinibaculum;s__,2;1239;526524;526525;128827;2679910;
