171929	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Sapindales;f__Anacardiaceae;g__Anacardium;s__Anacardium occidentale	2759;35493;3398;41937;4011;171928;171929
13450	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fagales;f__Betulaceae;g__Corylus;s__	2759;35493;3398;3502;3514;13450;
21019	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fagales;f__Fagaceae;g__Castanea;s__	2759;35493;3398;3502;3503;21019;
4329	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Proteales;f__Proteaceae;g__Macadamia;s__	2759;35493;3398;232378;4328;4329;
55513	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Sapindales;f__Anacardiaceae;g__Pistacia;s__Pistacia vera	2759;35493;3398;41937;4011;55512;55513
3663	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;g__Cucurbita;s__Cucurbita pepo	2759;35493;3398;71239;3650;3660;3663
4232	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asterales;f__Asteraceae;g__Helianthus;s__Helianthus annuus	2759;35493;3398;4209;4210;4231;4232
3864	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Lens;s__Lens culinaris	2759;35493;3398;72025;3803;3863;3864
3917	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Vigna;s__Vigna unguiculata	2759;35493;3398;72025;3803;3913;3917
3888	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Pisum;s__Pisum sativum	2759;35493;3398;72025;3803;3887;3888
8023	k__Eukaryota;p__Chordata;c__Actinopteri;o__Salmoniformes;f__Salmonidae;g__Oncorhynchus;s__Oncorhynchus nerka	2759;7711;186623;8006;8015;8016;8023
8030	k__Eukaryota;p__Chordata;c__Actinopteri;o__Salmoniformes;f__Salmonidae;g__Salmo;s__Salmo salar	2759;7711;186623;8006;8015;8028;8030
8126	k__Eukaryota;p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae;g__Tilapia;s__	2759;7711;186623;1489911;8113;8126;
6694	k__Eukaryota;p__Arthropoda;c__Malacostraca;o__Decapoda;f__;g__;s__	2759;6656;6681;6683;;;
8045	k__Eukaryota;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__;s__	2759;7711;186623;8043;8045;;
7995	k__Eukaryota;p__Chordata;c__Actinopteri;o__Siluriformes;f__;g__;s__	2759;7711;186623;7995;;;
6763	k__Eukaryota;p__Arthropoda;c__Malacostraca;o__Decapoda;f__Portunidae;g__Callinectes;s__Callinectes sapidus	2759;6656;6681;6683;6757;6762;6763
3662	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;g__Cucurbita;s__Cucurbita moschata	2759;35493;3398;71239;3650;3660;3662
3711	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica rapa	2759;35493;3398;3699;3700;3705;3711
3715	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica oleracea	2759;35493;3398;3699;3700;3705;3712
178616	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica oleracea	2759;35493;3398;3699;3700;3705;3712
161934	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Caryophyllales;f__Chenopodiaceae;g__Beta;s__Beta vulgaris	2759;35493;3398;3524;1804623;3554;161934
4111	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Solanum;s__Solanum melongena	2759;35493;3398;4069;4070;4107;4111
